q,h,dh,l,dl,f,df,s,m
 236, 0.386038, 0.005024,840.971796,-1.094018,-840.585758, 1.099042,841.357834,840.971796
 237, 0.391088, 0.005076,839.877806,-1.093961,-839.486718, 1.099037,840.268894,839.877806
 238, 0.396190, 0.005129,838.783874,-1.093903,-838.387684, 1.099032,839.180064,838.783874
 239, 0.401345, 0.005182,837.690000,-1.093845,-837.288655, 1.099027,838.091346,837.690000
 240, 0.406554, 0.005236,836.596185,-1.093786,-836.189630, 1.099022,837.002739,836.596185
 241, 0.411817, 0.005290,835.502428,-1.093727,-835.090611, 1.099016,835.914245,835.502428
 242, 0.417134, 0.005344,834.408732,-1.093667,-833.991598, 1.099011,834.825866,834.408732
 243, 0.422506, 0.005399,833.315095,-1.093606,-832.892589, 1.099006,833.737601,833.315095
 244, 0.427933, 0.005455,832.221519,-1.093545,-831.793586, 1.099000,832.649452,832.221519
 245, 0.433416, 0.005511,831.128004,-1.093484,-830.694588, 1.098995,831.561420,831.128004
 246, 0.438955, 0.005567,830.034551,-1.093422,-829.595596, 1.098990,830.473506,830.034551
 247, 0.444551, 0.005624,828.941160,-1.093360,-828.496609, 1.098984,829.385711,828.941160
 248, 0.450204, 0.005682,827.847832,-1.093297,-827.397628, 1.098979,828.298036,827.847832
 249, 0.455915, 0.005740,826.754567,-1.093233,-826.298652, 1.098973,827.210481,826.754567
 250, 0.461683, 0.005798,825.661365,-1.093169,-825.199682, 1.098967,826.123049,825.661365
 251, 0.467511, 0.005857,824.568228,-1.093105,-824.100717, 1.098962,825.035739,824.568228
 252, 0.473397, 0.005916,823.475156,-1.093040,-823.001758, 1.098956,823.948553,823.475156
 253, 0.479343, 0.005976,822.382149,-1.092974,-821.902805, 1.098950,822.861492,822.382149
 254, 0.485350, 0.006036,821.289208,-1.092908,-820.803858, 1.098944,821.774557,821.289208
 255, 0.491416, 0.006097,820.196333,-1.092841,-819.704917, 1.098939,820.687749,820.196333
 256, 0.497544, 0.006159,819.103525,-1.092774,-818.605981, 1.098933,819.601070,819.103525
 257, 0.503734, 0.006221,818.010785,-1.092706,-817.507051, 1.098927,818.514519,818.010785
 258, 0.509986, 0.006283,816.918113,-1.092638,-816.408128, 1.098921,817.428099,816.918113
 259, 0.516300, 0.006346,815.825510,-1.092569,-815.309210, 1.098915,816.341810,815.825510
 260, 0.522677, 0.006409,814.732976,-1.092499,-814.210299, 1.098908,815.255653,814.732976
 261, 0.529118, 0.006473,813.640512,-1.092429,-813.111393, 1.098902,814.169630,813.640512
 262, 0.535624, 0.006538,812.548118,-1.092358,-812.012494, 1.098896,813.083742,812.548118
 263, 0.542194, 0.006603,811.455795,-1.092287,-810.913601, 1.098890,811.997989,811.455795
 264, 0.548829, 0.006668,810.363544,-1.092215,-809.814715, 1.098883,810.912373,810.363544
 265, 0.555530, 0.006734,809.271364,-1.092143,-808.715834, 1.098877,809.826895,809.271364
 266, 0.562298, 0.006801,808.179258,-1.092070,-807.616960, 1.098871,808.741556,808.179258
 267, 0.569132, 0.006868,807.087225,-1.091996,-806.518093, 1.098864,807.656357,807.087225
 268, 0.576034, 0.006936,805.995266,-1.091922,-805.419232, 1.098858,806.571300,805.995266
 269, 0.583004, 0.007004,804.903381,-1.091847,-804.320377, 1.098851,805.486385,804.903381
 270, 0.590042, 0.007073,803.811572,-1.091772,-803.221530, 1.098845,804.401614,803.811572
 271, 0.597150, 0.007142,802.719838,-1.091696,-802.122688, 1.098838,803.316987,802.719838
 272, 0.604327, 0.007212,801.628181,-1.091619,-801.023854, 1.098831,802.232507,801.628181
 273, 0.611574, 0.007283,800.536600,-1.091542,-799.925026, 1.098824,801.148174,800.536600
 274, 0.618892, 0.007354,799.445097,-1.091464,-798.826205, 1.098817,800.063990,799.445097
 275, 0.626282, 0.007425,798.353673,-1.091385,-797.727391, 1.098811,798.979955,798.353673
 276, 0.633743, 0.007498,797.262327,-1.091306,-796.628584, 1.098804,797.896070,797.262327
 277, 0.641277, 0.007570,796.171061,-1.091226,-795.529784, 1.098797,796.812338,796.171061
 278, 0.648884, 0.007644,795.079875,-1.091146,-794.430991, 1.098790,795.728760,795.079875
 279, 0.656565, 0.007718,793.988770,-1.091064,-793.332205, 1.098782,794.645335,793.988770
 280, 0.664320, 0.007793,792.897747,-1.090983,-792.233426, 1.098775,793.562067,792.897747
 281, 0.672150, 0.007868,791.806805,-1.090900,-791.134655, 1.098768,792.478955,791.806805
