q,h,dh,l,dl,f,df,my,s,m
 117, 0.056186, 0.001198,971.453840,-1.098214,-971.397654, 1.099412,971.509872,971.510027,971.453840
 118, 0.057393, 0.001215,970.355636,-1.098195,-970.298243, 1.099410,970.412871,970.413029,970.355636
 119, 0.058617, 0.001233,969.257451,-1.098175,-969.198833, 1.099408,969.315906,969.316068,969.257451
 120, 0.059859, 0.001251,968.159285,-1.098156,-968.099426, 1.099407,968.218980,968.219145,968.159285
 121, 0.061120, 0.001269,967.061140,-1.098136,-967.000020, 1.099405,967.122091,967.122259,967.061140
 122, 0.062398, 0.001288,965.963014,-1.098116,-965.900616, 1.099403,966.025240,966.025412,965.963014
 123, 0.063695, 0.001306,964.864908,-1.098095,-964.801214, 1.099401,964.928427,964.928603,964.864908
 124, 0.065010, 0.001325,963.766823,-1.098075,-963.701813, 1.099400,963.831654,963.831834,963.766823
 125, 0.066345, 0.001344,962.668759,-1.098054,-962.602414, 1.099398,962.734920,962.735103,962.668759
 126, 0.067698, 0.001363,961.570715,-1.098033,-961.503017, 1.099396,961.638226,961.638413,961.570715
 127, 0.069070, 0.001382,960.472692,-1.098012,-960.403622, 1.099394,960.541572,960.541762,960.472692
 128, 0.070462, 0.001401,959.374691,-1.097991,-959.304229, 1.099392,959.444958,959.445153,959.374691
 129, 0.071873, 0.001421,958.276711,-1.097969,-958.204838, 1.099390,958.348385,958.348584,958.276711
 130, 0.073304, 0.001441,957.178752,-1.097948,-957.105449, 1.099388,957.251853,957.252056,957.178752
 131, 0.074754, 0.001461,956.080816,-1.097926,-956.006061, 1.099386,956.155363,956.155570,956.080816
 132, 0.076225, 0.001481,954.982901,-1.097904,-954.906676, 1.099384,955.058915,955.059126,954.982901
 133, 0.077716, 0.001501,953.885009,-1.097881,-953.807292, 1.099383,953.962510,953.962725,953.885009
 134, 0.079228, 0.001522,952.787139,-1.097859,-952.707911, 1.099381,952.866148,952.866367,952.787139
 135, 0.080760, 0.001543,951.689292,-1.097836,-951.608531, 1.099379,951.769828,951.770052,951.689292
 136, 0.082314, 0.001564,950.591467,-1.097813,-950.509154, 1.099376,950.673553,950.673781,950.591467
 137, 0.083888, 0.001585,949.493666,-1.097790,-949.409778, 1.099374,949.577322,949.577554,949.493666
 138, 0.085483, 0.001606,948.395888,-1.097766,-948.310405, 1.099372,948.481135,948.481372,948.395888
 139, 0.087100, 0.001628,947.298134,-1.097742,-947.211034, 1.099370,947.384993,947.385234,947.298134
 140, 0.088739, 0.001650,946.200404,-1.097718,-946.111664, 1.099368,946.288897,946.289143,946.200404
 141, 0.090400, 0.001672,945.102697,-1.097694,-945.012297, 1.099366,945.192846,945.193097,945.102697
 142, 0.092083, 0.001694,944.005015,-1.097670,-943.912932, 1.099364,944.096842,944.097097,944.005015
 143, 0.093788, 0.001716,942.907357,-1.097645,-942.813570, 1.099362,943.000885,943.001145,942.907357
 144, 0.095515, 0.001739,941.809724,-1.097621,-941.714209, 1.099360,941.904975,941.905240,941.809724
 145, 0.097266, 0.001762,940.712116,-1.097595,-940.614851, 1.099357,940.809112,940.809382,940.712116
 146, 0.099039, 0.001785,939.614533,-1.097570,-939.515494, 1.099355,939.713298,939.713573,939.614533
 147, 0.100836, 0.001808,938.516976,-1.097545,-938.416140, 1.099353,938.617532,938.617812,938.516976
 148, 0.102656, 0.001832,937.419444,-1.097519,-937.316789, 1.099351,937.521815,937.522100,937.419444
 149, 0.104499, 0.001856,936.321939,-1.097493,-936.217439, 1.099348,936.426148,936.426438,936.321939
 150, 0.106367, 0.001879,935.224459,-1.097466,-935.118092, 1.099346,935.330530,935.330826,935.224459
 151, 0.108258, 0.001904,934.127006,-1.097440,-934.018748, 1.099344,934.234963,934.235264,934.127006
 152, 0.110174, 0.001928,933.029579,-1.097413,-932.919405, 1.099341,933.139448,933.139754,933.029579
 153, 0.112115, 0.001953,931.932180,-1.097386,-931.820065, 1.099339,932.043983,932.044295,931.932180
 154, 0.114080, 0.001978,930.834808,-1.097359,-930.720728, 1.099336,930.948570,930.948887,930.834808
 155, 0.116070, 0.002003,929.737463,-1.097331,-929.621392, 1.099334,929.853210,929.853533,929.737463
 156, 0.118086, 0.002028,928.640145,-1.097303,-928.522060, 1.099332,928.757903,928.758231,928.640145
 157, 0.120127, 0.002054,927.542856,-1.097275,-927.422729, 1.099329,927.662648,927.662983,927.542856
 158, 0.122193, 0.002080,926.445595,-1.097247,-926.323402, 1.099327,926.567448,926.567788,926.445595
 159, 0.124286, 0.002106,925.348362,-1.097218,-925.224076, 1.099324,925.472302,925.472648,925.348362
 160, 0.126405, 0.002132,924.251159,-1.097189,-924.124754, 1.099321,924.377212,924.377564,924.251159
 161, 0.128550, 0.002159,923.153984,-1.097160,-923.025433, 1.099319,923.282176,923.282534,923.153984
 162, 0.130722, 0.002186,922.056838,-1.097131,-921.926116, 1.099316,922.187197,922.187561,922.056838
 163, 0.132921, 0.002213,920.959722,-1.097101,-920.826801, 1.099314,921.092273,921.092644,920.959722
 164, 0.135148, 0.002240,919.862636,-1.097071,-919.727489, 1.099311,919.997407,919.997784,919.862636
 165, 0.137401, 0.002268,918.765580,-1.097041,-918.628179, 1.099308,918.902599,918.902982,918.765580
 166, 0.139683, 0.002295,917.668555,-1.097010,-917.528872, 1.099306,917.807848,917.808238,917.668555
 167, 0.141992, 0.002324,916.571560,-1.096979,-916.429568, 1.099303,916.713156,916.713552,916.571560
 168, 0.144330, 0.002352,915.474596,-1.096948,-915.330266, 1.099300,915.618523,915.618926,915.474596
 169, 0.146696, 0.002381,914.377663,-1.096917,-914.230967, 1.099297,914.523950,914.524359,914.377663
