q,f,df
 564,-2219.319821, 4.707665
 565,-2214.613081, 4.705813
 566,-2209.908197, 4.703953
 567,-2205.205178, 4.702084
 568,-2200.504033, 4.700205
 569,-2195.804771, 4.698318
 570,-2191.107401, 4.696421
 571,-2186.411932, 4.694515
 572,-2181.718373, 4.692601
 573,-2177.026733, 4.690677
 574,-2172.337022, 4.688744
 575,-2167.649248, 4.686802
 576,-2162.963421, 4.684851
 577,-2158.279550, 4.682890
 578,-2153.597644, 4.680920
 579,-2148.917712, 4.678941
 580,-2144.239764, 4.676953
 581,-2139.563809, 4.674956
 582,-2134.889856, 4.672949
 583,-2130.217914, 4.670933
 584,-2125.547994, 4.668907
 585,-2120.880103, 4.666872
 586,-2116.214252, 4.664828
 587,-2111.550450, 4.662774
 588,-2106.888707, 4.660711
 589,-2102.229031, 4.658639
 590,-2097.571433, 4.656556
 591,-2092.915921, 4.654465
 592,-2088.262506, 4.652364
 593,-2083.611197, 4.650253
 594,-2078.962003, 4.648133
 595,-2074.314934, 4.646003
 596,-2069.669999, 4.643864
 597,-2065.027209, 4.641715
 598,-2060.386572, 4.639557
 599,-2055.748099, 4.637388
 600,-2051.111799, 4.635210
 601,-2046.477681, 4.633023
 602,-2041.845756, 4.630826
 603,-2037.216033, 4.628619
 604,-2032.588522, 4.626402
 605,-2027.963232, 4.624175
 606,-2023.340174, 4.621939
 607,-2018.719357, 4.619693
 608,-2014.100791, 4.617437
 609,-2009.484486, 4.615171
 610,-2004.870452, 4.612896
 611,-2000.258698, 4.610610
 612,-1995.649234, 4.608315
 613,-1991.042071, 4.606010
 614,-1986.437218, 4.603695
 615,-1981.834685, 4.601370
 616,-1977.234482, 4.599035
 617,-1972.636619, 4.596690
 618,-1968.041106, 4.594335
 619,-1963.447953, 4.591970
 620,-1958.857170, 4.589595
 621,-1954.268767, 4.587210
 622,-1949.682754, 4.584815
 623,-1945.099141, 4.582409
 624,-1940.517939, 4.579994
 625,-1935.939157, 4.577569
 626,-1931.362805, 4.575133
 627,-1926.788893, 4.572688
 628,-1922.217432, 4.570232
 629,-1917.648432, 4.567766
 630,-1913.081903, 4.565290
 631,-1908.517855, 4.562804
 632,-1903.956298, 4.560308
 633,-1899.397243, 4.557801
 634,-1894.840700, 4.555284
 635,-1890.286678, 4.552757
 636,-1885.735189, 4.550220
 637,-1881.186242, 4.547672
 638,-1876.639847, 4.545114
 639,-1872.096016, 4.542546
 640,-1867.554758, 4.539968
 641,-1863.016084, 4.537379
 642,-1858.480003, 4.534780
 643,-1853.946527, 4.532171
 644,-1849.415666, 4.529551
 645,-1844.887429, 4.526921
 646,-1840.361828, 4.524280
 647,-1835.838872, 4.521629
 648,-1831.318573, 4.518968
 649,-1826.800940, 4.516296
 650,-1822.285984, 4.513614
 651,-1817.773715, 4.510922
 652,-1813.264144, 4.508219
 653,-1808.757281, 4.505505
 654,-1804.253137, 4.502781
 655,-1799.751722, 4.500047
 656,-1795.253047, 4.497302
 657,-1790.757122, 4.494547
 658,-1786.263957, 4.491781
 659,-1781.773564, 4.489005
 660,-1777.285952, 4.486218
 661,-1772.801132, 4.483420
 662,-1768.319115, 4.480612
 663,-1763.839911, 4.477794
 664,-1759.363530, 4.474965
 665,-1754.889985, 4.472125
 666,-1750.419283, 4.469275
 667,-1745.951438, 4.466414
 668,-1741.486458, 4.463543
 669,-1737.024355, 4.460661
 670,-1732.565139, 4.457769
 671,-1728.108820, 4.454866
 672,-1723.655411, 4.451952
 673,-1719.204920, 4.449028
 674,-1714.757358, 4.446093
 675,-1710.312737, 4.443147
 676,-1705.871067, 4.440191
 677,-1701.432358, 4.437225
 678,-1696.996621, 4.434247
 679,-1692.563867, 4.431259
 680,-1688.134107, 4.428260
 681,-1683.707350, 4.425251
 682,-1679.283608, 4.422231
 683,-1674.862892, 4.419200
 684,-1670.445211, 4.416159
 685,-1666.030577, 4.413107
 686,-1661.619001, 4.410044
 687,-1657.210492, 4.406971
 688,-1652.805062, 4.403887
 689,-1648.402722, 4.400792
 690,-1644.003481, 4.397687
 691,-1639.607352, 4.394571
 692,-1635.214343, 4.391444
 693,-1630.824467, 4.388307
 694,-1626.437734, 4.385158
 695,-1622.054154, 4.382000
 696,-1617.673738, 4.378830
 697,-1613.296498, 4.375650
 698,-1608.922442, 4.372459
 699,-1604.551583, 4.369257
 700,-1600.183931, 4.366045
 701,-1595.819497, 4.362822
 702,-1591.458291, 4.359588
 703,-1587.100324, 4.356344
 704,-1582.745606, 4.353089
 705,-1578.394149, 4.349823
 706,-1574.045963, 4.346547
 707,-1569.701059, 4.343260
 708,-1565.359447, 4.339962
 709,-1561.021139, 4.336653
 710,-1556.686144, 4.333334
 711,-1552.354474, 4.330004
 712,-1548.026139, 4.326664
 713,-1543.701149, 4.323313
 714,-1539.379517, 4.319951
 715,-1535.061251, 4.316578
 716,-1530.746363, 4.313195
 717,-1526.434864, 4.309801
 718,-1522.126764, 4.306397
 719,-1517.822074, 4.302982
 720,-1513.520804, 4.299556
 721,-1509.222965, 4.296120
 722,-1504.928568, 4.292673
 723,-1500.637623, 4.289215
 724,-1496.350141, 4.285747
 725,-1492.066132, 4.282268
 726,-1487.785608, 4.278779
 727,-1483.508579, 4.275279
 728,-1479.235055, 4.271768
 729,-1474.965046, 4.268247
 730,-1470.698565, 4.264715
 731,-1466.435620, 4.261172
 732,-1462.176223, 4.257620
 733,-1457.920385, 4.254056
 734,-1453.668115, 4.250482
 735,-1449.419424, 4.246897
 736,-1445.174323, 4.243302
 737,-1440.932823, 4.239697
 738,-1436.694933, 4.236081
 739,-1432.460665, 4.232454
 740,-1428.230029, 4.228817
 741,-1424.003035, 4.225169
 742,-1419.779693, 4.221511
 743,-1415.560015, 4.217843
 744,-1411.344011, 4.214164
 745,-1407.131691, 4.210475
 746,-1402.923065, 4.206775
 747,-1398.718145, 4.203065
 748,-1394.516940, 4.199344
 749,-1390.319460, 4.195613
 750,-1386.125717, 4.191872
 751,-1381.935720, 4.188120
 752,-1377.749480, 4.184358
