q,h,dh,l,dl,f,df,s,m
 129, 0.071873, 0.001421,4355.803231,-4.990770,-4355.731358, 4.992191,4355.875104,4355.803231
 130, 0.073304, 0.001441,4350.812511,-4.990671,-4350.739207, 4.992112,4350.885814,4350.812511
 131, 0.074754, 0.001461,4345.821890,-4.990571,-4345.747135, 4.992032,4345.896644,4345.821890
 132, 0.076225, 0.001481,4340.831369,-4.990471,-4340.755143, 4.991952,4340.907594,4340.831369
 133, 0.077716, 0.001501,4335.840949,-4.990369,-4335.763232, 4.991870,4335.918665,4335.840949
 134, 0.079228, 0.001522,4330.850631,-4.990266,-4330.771403, 4.991788,4330.929859,4330.850631
 135, 0.080760, 0.001543,4325.860416,-4.990163,-4325.779656, 4.991705,4325.941177,4325.860416
 136, 0.082314, 0.001564,4320.870306,-4.990058,-4320.787992, 4.991622,4320.952619,4320.870306
 137, 0.083888, 0.001585,4315.880301,-4.989953,-4315.796413, 4.991537,4315.964188,4315.880301
 138, 0.085483, 0.001606,4310.890401,-4.989846,-4310.804918, 4.991452,4310.975885,4310.890401
 139, 0.087100, 0.001628,4305.900609,-4.989738,-4305.813509, 4.991366,4305.987709,4305.900609
 140, 0.088739, 0.001650,4300.910925,-4.989630,-4300.822186, 4.991279,4300.999664,4300.910925
 141, 0.090400, 0.001672,4295.921350,-4.989520,-4295.830951, 4.991191,4296.011750,4295.921350
 142, 0.092083, 0.001694,4290.931886,-4.989409,-4290.839803, 4.991103,4291.023969,4290.931886
 143, 0.093788, 0.001716,4285.942533,-4.989297,-4285.848745, 4.991013,4286.036320,4285.942533
 144, 0.095515, 0.001739,4280.953292,-4.989184,-4280.857777, 4.990923,4281.048807,4280.953292
 145, 0.097266, 0.001762,4275.964165,-4.989070,-4275.866899, 4.990832,4276.061430,4275.964165
 146, 0.099039, 0.001785,4270.975152,-4.988955,-4270.876113, 4.990740,4271.074191,4270.975152
 147, 0.100836, 0.001808,4265.986255,-4.988839,-4265.885419, 4.990647,4266.087091,4265.986255
 148, 0.102656, 0.001832,4260.997475,-4.988722,-4260.894819, 4.990553,4261.100130,4260.997475
 149, 0.104499, 0.001856,4256.008812,-4.988603,-4255.904313, 4.990459,4256.113311,4256.008812
 150, 0.106367, 0.001879,4251.020269,-4.988484,-4250.913902, 4.990363,4251.126635,4251.020269
 151, 0.108258, 0.001904,4246.031845,-4.988363,-4245.923587, 4.990267,4246.140103,4246.031845
 152, 0.110174, 0.001928,4241.043543,-4.988241,-4240.933369, 4.990169,4241.153717,4241.043543
 153, 0.112115, 0.001953,4236.055363,-4.988118,-4235.943249, 4.990071,4236.167478,4236.055363
 154, 0.114080, 0.001978,4231.067307,-4.987994,-4230.953227, 4.989972,4231.181387,4231.067307
 155, 0.116070, 0.002003,4226.079375,-4.987869,-4225.963305, 4.989872,4226.195446,4226.079375
 156, 0.118086, 0.002028,4221.091570,-4.987742,-4220.973484, 4.989771,4221.209655,4221.091570
 157, 0.120127, 0.002054,4216.103891,-4.987615,-4215.983765, 4.989668,4216.224018,4216.103891
 158, 0.122193, 0.002080,4211.116341,-4.987486,-4210.994148, 4.989565,4211.238534,4211.116341
 159, 0.124286, 0.002106,4206.128920,-4.987356,-4206.004634, 4.989461,4206.253206,4206.128920
 160, 0.126405, 0.002132,4201.141630,-4.987224,-4201.015225, 4.989356,4201.268035,4201.141630
 161, 0.128550, 0.002159,4196.154472,-4.987092,-4196.025922, 4.989250,4196.283022,4196.154472
 162, 0.130722, 0.002186,4191.167447,-4.986958,-4191.036724, 4.989144,4191.298169,4191.167447
 163, 0.132921, 0.002213,4186.180556,-4.986823,-4186.047635, 4.989036,4186.313478,4186.180556
 164, 0.135148, 0.002240,4181.193801,-4.986687,-4181.058654, 4.988927,4181.328949,4181.193801
 165, 0.137401, 0.002268,4176.207183,-4.986549,-4176.069782, 4.988817,4176.344585,4176.207183
 166, 0.139683, 0.002295,4171.220703,-4.986410,-4171.081021, 4.988706,4171.360386,4171.220703
 167, 0.141992, 0.002324,4166.234363,-4.986270,-4166.092371, 4.988594,4166.376355,4166.234363
 168, 0.144330, 0.002352,4161.248164,-4.986129,-4161.103834, 4.988481,4161.392494,4161.248164
 169, 0.146696, 0.002381,4156.262106,-4.985986,-4156.115410, 4.988366,4156.408802,4156.262106
 170, 0.149091, 0.002409,4151.276192,-4.985842,-4151.127101, 4.988251,4151.425283,4151.276192
 171, 0.151515, 0.002439,4146.290423,-4.985696,-4146.138908, 4.988135,4146.441938,4146.290423
 172, 0.153968, 0.002468,4141.304800,-4.985550,-4141.150831, 4.988018,4141.458768,4141.304800
 173, 0.156451, 0.002498,4136.319324,-4.985402,-4136.162873, 4.987899,4136.475775,4136.319324
 174, 0.158964, 0.002528,4131.333997,-4.985252,-4131.175033, 4.987780,4131.492961,4131.333997
 175, 0.161507, 0.002558,4126.348820,-4.985101,-4126.187314, 4.987659,4126.510327,4126.348820
 176, 0.164080, 0.002589,4121.363795,-4.984949,-4121.199715, 4.987537,4121.527875,4121.363795
 177, 0.166684, 0.002619,4116.378923,-4.984795,-4116.212239, 4.987415,4116.545607,4116.378923
 178, 0.169319, 0.002650,4111.394205,-4.984640,-4111.224886, 4.987291,4111.563524,4111.394205
 179, 0.171985, 0.002682,4106.409643,-4.984484,-4106.237658, 4.987166,4106.581628,4106.409643
 180, 0.174683, 0.002714,4101.425238,-4.984326,-4101.250556, 4.987039,4101.599921,4101.425238
 181, 0.177412, 0.002746,4096.440992,-4.984166,-4096.263580, 4.986912,4096.618404,4096.440992
 182, 0.180174, 0.002778,4091.456906,-4.984006,-4091.276732, 4.986783,4091.637080,4091.456906
 183, 0.182968, 0.002810,4086.472981,-4.983843,-4086.290014, 4.986654,4086.655949,4086.472981
 184, 0.185794, 0.002843,4081.489220,-4.983680,-4081.303425, 4.986523,4081.675014,4081.489220
 185, 0.188654, 0.002876,4076.505623,-4.983514,-4076.316969, 4.986391,4076.694277,4076.505623
 186, 0.191547, 0.002910,4071.522192,-4.983347,-4071.330645, 4.986257,4071.713739,4071.522192
 187, 0.194474, 0.002944,4066.538928,-4.983179,-4066.344454, 4.986123,4066.733402,4066.538928
 188, 0.197434, 0.002978,4061.555834,-4.983009,-4061.358399, 4.985987,4061.753268,4061.555834
 189, 0.200429, 0.003012,4056.572910,-4.982838,-4056.372481, 4.985850,4056.773339,4056.572910
 190, 0.203458, 0.003047,4051.590158,-4.982665,-4051.386700, 4.985712,4051.793617,4051.590158
 191, 0.206523, 0.003082,4046.607580,-4.982491,-4046.401058, 4.985572,4046.814103,4046.607580
 192, 0.209622, 0.003117,4041.625178,-4.982315,-4041.415556, 4.985432,4041.834799,4041.625178
 193, 0.212757, 0.003153,4036.642952,-4.982137,-4036.430195, 4.985290,4036.855708,4036.642952
 194, 0.215927, 0.003189,4031.660904,-4.981958,-4031.444977, 4.985146,4031.876831,4031.660904
 195, 0.219134, 0.003225,4026.679037,-4.981777,-4026.459903, 4.985002,4026.898171,4026.679037
 196, 0.222377, 0.003261,4021.697351,-4.981594,-4021.474974, 4.984856,4021.919728,4021.697351
 197, 0.225657, 0.003298,4016.715848,-4.981410,-4016.490191, 4.984709,4016.941505,4016.715848
 198, 0.228974, 0.003336,4011.734531,-4.981225,-4011.505557, 4.984560,4011.963505,4011.734531
 199, 0.232328, 0.003373,4006.753400,-4.981037,-4006.521071, 4.984410,4006.985728,4006.753400
 200, 0.235721, 0.003411,4001.772457,-4.980848,-4001.536736, 4.984259,4002.008177,4001.772457
 201, 0.239151, 0.003449,3996.791704,-4.980657,-3996.552553, 4.984107,3997.030855,3996.791704
 202, 0.242620, 0.003488,3991.811143,-4.980465,-3991.568523, 4.983953,3992.053762,3991.811143
 203, 0.246127, 0.003527,3986.830775,-4.980271,-3986.584648, 4.983798,3987.076902,3986.830775
 204, 0.249674, 0.003566,3981.850602,-4.980075,-3981.600928, 4.983641,3982.100276,3981.850602
 205, 0.253260, 0.003606,3976.870626,-4.979877,-3976.617366, 4.983483,3977.123886,3976.870626
 206, 0.256886, 0.003646,3971.890848,-4.979678,-3971.633963, 4.983324,3972.147734,3971.890848
 207, 0.260552, 0.003686,3966.911271,-4.979476,-3966.650719, 4.983163,3967.171823,3966.911271
 208, 0.264259, 0.003727,3961.931896,-4.979273,-3961.667637, 4.983001,3962.196155,3961.931896
 209, 0.268006, 0.003768,3956.952725,-4.979069,-3956.684719, 4.982837,3957.220731,3956.952725
 210, 0.271795, 0.003810,3951.973759,-4.978862,-3951.701964, 4.982672,3952.245554,3951.973759
 211, 0.275626, 0.003851,3946.995001,-4.978654,-3946.719376, 4.982505,3947.270627,3946.995001
 212, 0.279498, 0.003894,3942.016452,-4.978444,-3941.736954, 4.982337,3942.295950,3942.016452
 213, 0.283413, 0.003936,3937.038115,-4.978231,-3936.754702, 4.982168,3937.321527,3937.038115
 214, 0.287370, 0.003979,3932.059990,-4.978018,-3931.772620, 4.981997,3932.347360,3932.059990
 215, 0.291371, 0.004022,3927.082080,-4.977802,-3926.790709, 4.981824,3927.373451,3927.082080
